Number of Records,Year,Divorce Rate,State,State_name
1,2013,3.3,MI,Michigan
1,2013,,MN,Minnesota
1,2013,3.4,MO,Missouri
1,2013,3.6,MS,Mississippi
1,2013,3.4,MT,Montana
1,2013,3.4,NC,North Carolina
1,2013,2.9,ND,North Dakota
1,2013,3.3,NE,Nebraska
1,2013,3.7,NH,New Hampshire
1,2013,2.8,NJ,New Jersey
1,2013,3.4,NM,New Mexico
1,2013,5.1,NV,Nevada
1,2013,2.7,NY,New York
1,2013,3.3,OH,Ohio
1,2013,4.5,OK,Oklahoma
1,2013,3.6,OR,Oregon
1,2013,2.7,PA,Pennsylvania
1,2013,3.1,RI,Rhode Island
1,2013,3.2,SC,South Carolina
1,2013,2.9,SD,South Dakota
1,2013,4.1,TN,Tennessee
1,2013,2.9,TX,Texas
1,2013,3.1,UT,Utah
1,2013,3.6,VA,Virginia
1,2013,3.5,VT,Vermont
1,2013,3.8,WA,Washington
1,2013,2.8,WI,Wisconsin
1,2013,4.6,WV,West Virginia
1,2013,4.3,WY,Wyoming
1,2014,4,AK,Alaska
1,2014,3.8,AL,Alabama
1,2014,4.8,AR,Arkansas
1,2014,3.9,AZ,Arizona
1,2014,,CA,California
1,2014,3.9,CO,Colorado
1,2014,2.6,CT,Connecticut
1,2014,3.3,DC,Delaware
1,2014,2.6,DE,District of Columbia
1,2014,4,FL,Florida
1,2014,,GA,Georgia
1,2014,,HI,Hawaii
1,2014,1.5,IA,Iowa
1,2014,4.2,ID,Idaho
1,2014,2.2,IL,Illinois
1,2014,3,KS,Kansas
1,2014,3.8,KY,Kentucky
1,2014,2.3,LA,Louisiana
1,2014,2.7,MA,Massachusetts
1,2014,2.5,MD,Maryland
1,2014,3.6,ME,Maine
1,2014,3,MI,Michigan
1,2014,,MN,Minnesota
1,2014,3.3,MO,Missouri
1,2014,3.4,MS,Mississippi
1,2014,3.4,MT,Montana
1,2014,3.4,NC,North Carolina
1,2014,2.8,ND,North Dakota
1,2014,3.1,NE,Nebraska
1,2014,3.5,NH,New Hampshire
1,2014,2.8,NJ,New Jersey
1,2014,3.6,NM,New Mexico
1,2014,5.3,NV,Nevada
1,2014,2.8,NY,New York
1,2014,3.2,OH,Ohio
1,2014,4.5,OK,Oklahoma
1,2014,3.4,OR,Oregon
1,2014,2.7,PA,Pennsylvania
1,2014,2.8,RI,Rhode Island
1,2014,2.9,SC,South Carolina
1,2014,2.8,SD,South Dakota
1,2014,3.8,TN,Tennessee
1,2014,2.7,TX,Texas
1,2014,3.1,UT,Utah
1,2014,3.5,VA,Virginia
1,2014,3.5,VT,Vermont
1,2014,3.6,WA,Washington
1,2014,2.7,WI,Wisconsin
1,2014,4.2,WV,West Virginia
1,2014,4.6,WY,Wyoming
1,2015,4.1,AK,Alaska
1,2015,3.9,AL,Alabama
1,2015,4.8,AR,Arkansas
1,2015,3.6,AZ,Arizona
1,2015,,CA,California
1,2015,3.7,CO,Colorado
1,2015,3.1,CT,Connecticut
1,2015,3.1,DC,Delaware
1,2015,2.8,DE,District of Columbia
1,2015,4,FL,Florida
1,2015,,GA,Georgia
1,2015,,HI,Hawaii
1,2015,1.2,IA,Iowa
1,2015,4.1,ID,Idaho
1,2015,2.2,IL,Illinois
1,2015,2.8,KS,Kansas
1,2015,3.7,KY,Kentucky
1,2015,2.8,LA,Louisiana
1,2015,2.6,MA,Massachusetts
1,2015,2.6,MD,Maryland
1,2015,3.4,ME,Maine
1,2015,3,MI,Michigan
1,2015,,MN,Minnesota
1,2015,3.2,MO,Missouri
1,2015,3.4,MS,Mississippi
1,2015,3.4,MT,Montana
1,2015,3.1,NC,North Carolina
1,2015,2.8,ND,North Dakota
1,2015,3.2,NE,Nebraska
1,2015,3.3,NH,New Hampshire
1,2015,2.8,NJ,New Jersey
1,2015,3.3,NM,New Mexico
1,2015,4.6,NV,Nevada
1,2015,2.7,NY,New York
1,2015,3.1,OH,Ohio
1,2015,4.4,OK,Oklahoma
1,2015,3.4,OR,Oregon
1,2015,2.6,PA,Pennsylvania
1,2015,3,RI,Rhode Island
1,2015,2.8,SC,South Carolina
1,2015,2.6,SD,South Dakota
1,2015,3.7,TN,Tennessee
1,2015,2.6,TX,Texas
1,2015,3.6,UT,Utah
1,2015,3.3,VA,Virginia
1,2015,3.1,VT,Vermont
1,2015,3.4,WA,Washington
1,2015,2.6,WI,Wisconsin
1,2015,4,WV,West Virginia
1,2015,4.1,WY,Wyoming
1,2016,3.9,AK,Alaska
1,2016,3.8,AL,Alabama
1,2016,3.9,AR,Arkansas
1,2016,3.4,AZ,Arizona
1,2016,,CA,California
1,2016,3.6,CO,Colorado
1,2016,3.2,CT,Connecticut
1,2016,3.1,DC,Delaware
1,2016,2.7,DE,District of Columbia
1,2016,3.9,FL,Florida
1,2016,,GA,Georgia
1,2016,,HI,Hawaii
1,2016,1.3,IA,Iowa
1,2016,4,ID,Idaho
1,2016,2.2,IL,Illinois
1,2016,2.7,KS,Kansas
1,2016,3.8,KY,Kentucky
1,2016,2,LA,Louisiana
1,2016,2.3,MA,Massachusetts
1,2016,2.7,MD,Maryland
1,2016,3.4,ME,Maine
1,2016,2.9,MI,Michigan
1,2016,,MN,Minnesota
1,2016,3.3,MO,Missouri
1,2016,3.2,MS,Mississippi
1,2016,3.1,MT,Montana
1,2016,3.2,NC,North Carolina
1,2016,2.6,ND,North Dakota
1,2016,3.1,NE,Nebraska
1,2016,3.4,NH,New Hampshire
1,2016,2.7,NJ,New Jersey
1,2016,,NM,New Mexico
1,2016,4.3,NV,Nevada
1,2016,2.7,NY,New York
1,2016,3,OH,Ohio
1,2016,4.4,OK,Oklahoma
1,2016,3.4,OR,Oregon
1,2016,2.6,PA,Pennsylvania
1,2016,2.8,RI,Rhode Island
1,2016,2.5,SC,South Carolina
1,2016,2.8,SD,South Dakota
1,2016,3.8,TN,Tennessee
1,2016,2.6,TX,Texas
1,2016,3.6,UT,Utah
1,2016,3.4,VA,Virginia
1,2016,3.1,VT,Vermont
1,2016,3.5,WA,Washington
1,2016,2.6,WI,Wisconsin
1,2016,3.8,WV,West Virginia
1,2016,4.2,WY,Wyoming
1,2017,3.6,AK,Alaska
1,2017,3.7,AL,Alabama
1,2017,3.7,AR,Arkansas
1,2017,3.5,AZ,Arizona
1,2017,,CA,California
1,2017,3.2,CO,Colorado
1,2017,2.9,CT,Connecticut
1,2017,3,DC,Delaware
1,2017,2.5,DE,District of Columbia
1,2017,3.6,FL,Florida
1,2017,3.5,GA,Georgia
1,2017,,HI,Hawaii
1,2017,2,IA,Iowa
1,2017,3.9,ID,Idaho
1,2017,1.9,IL,Illinois
1,2017,2.4,KS,Kansas
1,2017,3.7,KY,Kentucky
1,2017,1.9,LA,Louisiana
1,2017,2.2,MA,Massachusetts
1,2017,2.5,MD,Maryland
1,2017,3.2,ME,Maine
1,2017,2.8,MI,Michigan
1,2017,,MN,Minnesota
1,2017,3.1,MO,Missouri
1,2017,2.9,MS,Mississippi
1,2017,3.1,MT,Montana
1,2017,3.1,NC,North Carolina
1,2017,2.5,ND,North Dakota
1,2017,3,NE,Nebraska
1,2017,3.1,NH,New Hampshire
1,2017,2.6,NJ,New Jersey
1,2017,,NM,New Mexico
1,2017,4.5,NV,Nevada
1,2017,2.7,NY,New York
1,2017,2.9,OH,Ohio
1,2017,4.1,OK,Oklahoma
1,2017,3.4,OR,Oregon
1,2017,2.6,PA,Pennsylvania
1,2017,2.9,RI,Rhode Island
1,2017,2.6,SC,South Carolina
1,2017,2.7,SD,South Dakota
1,2017,3.5,TN,Tennessee
1,2017,2.2,TX,Texas
1,2017,3.4,UT,Utah
1,2017,3,VA,Virginia
1,2017,2.9,VT,Vermont
1,2017,3.4,WA,Washington
1,2017,2.4,WI,Wisconsin
1,2017,3.5,WV,West Virginia
1,2017,4,WY,Wyoming
1,2018,3.7,AK,Alaska
1,2018,3.7,AL,Alabama
1,2018,4.1,AR,Arkansas
1,2018,3,AZ,Arizona
1,2018,,CA,California
1,2018,3.3,CO,Colorado
1,2018,2.9,CT,Connecticut
1,2018,2.8,DC,Delaware
1,2018,2.5,DE,District of Columbia
1,2018,3.6,FL,Florida
1,2018,2.5,GA,Georgia
1,2018,,HI,Hawaii
1,2018,2.2,IA,Iowa
1,2018,3.8,ID,Idaho
1,2018,1.5,IL,Illinois
1,2018,2.3,KS,Kansas
1,2018,3.5,KY,Kentucky
1,2018,1.7,LA,Louisiana
1,2018,2.1,MA,Massachusetts
1,2018,2.4,MD,Maryland
1,2018,3.2,ME,Maine
1,2018,2.8,MI,Michigan
1,2018,,MN,Minnesota
1,2018,3,MO,Missouri
1,2018,2.7,MS,Mississippi
1,2018,3,MT,Montana
1,2018,3.1,NC,North Carolina
1,2018,2.6,ND,North Dakota
1,2018,2.9,NE,Nebraska
1,2018,3.1,NH,New Hampshire
1,2018,2.7,NJ,New Jersey
1,2018,,NM,New Mexico
1,2018,4.4,NV,Nevada
1,2018,2.8,NY,New York
1,2018,2.9,OH,Ohio
1,2018,3.8,OK,Oklahoma
1,2018,3.4,OR,Oregon
1,2018,2.6,PA,Pennsylvania
1,2018,2.9,RI,Rhode Island
1,2018,2.5,SC,South Carolina
1,2018,2.6,SD,South Dakota
1,2018,3.5,TN,Tennessee
1,2018,2.6,TX,Texas
1,2018,3.8,UT,Utah
1,2018,3.1,VA,Virginia
1,2018,3.1,VT,Vermont
1,2018,3.3,WA,Washington
1,2018,2.5,WI,Wisconsin
1,2018,3.3,WV,West Virginia
1,2018,3.8,WY,Wyoming
